,group,datetime,date,time,cycle_full_gr,status,gr_status
0,2,2023-02-02 18:34:24+07:00,2023-02-02,18:35:00,1,start,2_start
1,2,2023-02-02 20:22:36+07:00,2023-02-02,20:25:00,1,stop,2_stop
2,2,2023-02-04 09:12:31+07:00,2023-02-04,09:15:00,2,start,2_start
3,2,2023-02-04 09:21:19+07:00,2023-02-04,09:20:00,2,stop,2_stop
4,2,2023-02-04 09:59:54+07:00,2023-02-04,10:00:00,3,start,2_start
5,2,2023-02-04 10:15:46+07:00,2023-02-04,10:15:00,3,stop,2_stop
6,2,2023-02-04 14:16:04+07:00,2023-02-04,14:15:00,4,start,2_start
7,2,2023-02-04 14:51:37+07:00,2023-02-04,14:50:00,4,stop,2_stop
8,2,2023-02-04 16:30:12+07:00,2023-02-04,16:30:00,5,start,2_start
9,2,2023-02-04 18:00:38+07:00,2023-02-04,18:00:00,5,stop,2_stop
10,2,2023-02-06 16:18:59+07:00,2023-02-06,16:20:00,6,start,2_start
11,2,2023-02-06 18:12:52+07:00,2023-02-06,18:15:00,6,stop,2_stop
12,2,2023-02-08 16:47:58+07:00,2023-02-08,16:50:00,7,start,2_start
13,2,2023-02-08 18:28:52+07:00,2023-02-08,18:30:00,7,stop,2_stop
14,2,2023-02-10 16:14:25+07:00,2023-02-10,16:15:00,8,start,2_start
15,2,2023-02-10 18:01:36+07:00,2023-02-10,18:00:00,8,stop,2_stop
16,2,2023-02-12 17:11:21+07:00,2023-02-12,17:10:00,9,start,2_start
17,2,2023-02-12 18:33:42+07:00,2023-02-12,18:35:00,9,stop,2_stop
18,2,2023-02-14 19:54:52+07:00,2023-02-14,19:55:00,10,start,2_start
19,2,2023-02-14 21:35:59+07:00,2023-02-14,21:35:00,10,stop,2_stop
20,2,2023-02-16 17:01:44+07:00,2023-02-16,17:00:00,11,start,2_start
21,2,2023-02-16 18:14:40+07:00,2023-02-16,18:15:00,11,stop,2_stop
22,2,2023-02-16 19:22:32+07:00,2023-02-16,19:25:00,12,start,2_start
23,2,2023-02-16 19:47:13+07:00,2023-02-16,19:45:00,12,stop,2_stop
24,2,2023-02-18 17:08:48+07:00,2023-02-18,17:10:00,13,start,2_start
25,2,2023-02-18 18:14:10+07:00,2023-02-18,18:15:00,13,stop,2_stop
26,2,2023-02-18 19:03:41+07:00,2023-02-18,19:05:00,14,start,2_start
27,2,2023-02-18 20:23:47+07:00,2023-02-18,20:25:00,14,stop,2_stop
28,2,2023-02-20 17:31:36+07:00,2023-02-20,17:30:00,15,start,2_start
29,2,2023-02-20 17:42:56+07:00,2023-02-20,17:45:00,15,stop,2_stop
30,2,2023-02-20 18:49:00+07:00,2023-02-20,18:50:00,16,start,2_start
31,2,2023-02-20 20:05:14+07:00,2023-02-20,20:05:00,16,stop,2_stop
32,2,2023-02-22 17:05:38+07:00,2023-02-22,17:05:00,17,start,2_start
33,2,2023-02-22 18:48:11+07:00,2023-02-22,18:50:00,17,stop,2_stop
34,2,2023-02-23 19:25:50+07:00,2023-02-23,19:25:00,18,start,2_start
35,2,2023-02-23 21:05:13+07:00,2023-02-23,21:05:00,18,stop,2_stop
36,2,2023-02-24 19:29:05+07:00,2023-02-24,19:30:00,19,start,2_start
37,2,2023-02-24 21:15:16+07:00,2023-02-24,21:15:00,19,stop,2_stop
38,2,2023-02-25 17:00:07+07:00,2023-02-25,17:00:00,20,start,2_start
39,2,2023-02-25 18:36:18+07:00,2023-02-25,18:35:00,20,stop,2_stop
40,2,2023-02-26 19:29:19+07:00,2023-02-26,19:30:00,21,start,2_start
41,2,2023-02-26 19:37:16+07:00,2023-02-26,19:35:00,21,stop,2_stop
42,2,2023-02-26 20:37:26+07:00,2023-02-26,20:35:00,22,start,2_start
43,2,2023-02-26 21:58:02+07:00,2023-02-26,22:00:00,22,stop,2_stop
44,2,2023-02-27 16:00:00+07:00,2023-02-27,16:00:00,23,start,2_start
45,2,2023-02-27 17:39:10+07:00,2023-02-27,17:40:00,23,stop,2_stop
46,2,2023-02-28 16:48:45+07:00,2023-02-28,16:50:00,24,start,2_start
47,2,2023-02-28 18:45:03+07:00,2023-02-28,18:45:00,24,stop,2_stop
48,2,2023-03-01 16:00:34+07:00,2023-03-01,16:00:00,25,start,2_start
49,2,2023-03-01 17:35:06+07:00,2023-03-01,17:35:00,25,stop,2_stop
50,2,2023-03-02 15:57:09+07:00,2023-03-02,15:55:00,26,start,2_start
51,2,2023-03-02 17:22:52+07:00,2023-03-02,17:25:00,26,stop,2_stop
52,2,2023-03-04 00:52:48+07:00,2023-03-04,00:55:00,27,start,2_start
53,2,2023-03-04 02:30:49+07:00,2023-03-04,02:30:00,27,stop,2_stop
54,2,2023-03-04 16:18:53+07:00,2023-03-04,16:20:00,28,start,2_start
55,2,2023-03-04 17:39:15+07:00,2023-03-04,17:40:00,28,stop,2_stop
56,2,2023-03-05 19:49:08+07:00,2023-03-05,19:50:00,29,start,2_start
57,2,2023-03-05 20:43:50+07:00,2023-03-05,20:45:00,29,stop,2_stop
58,2,2023-03-06 16:09:47+07:00,2023-03-06,16:10:00,30,start,2_start
59,2,2023-03-06 17:37:29+07:00,2023-03-06,17:35:00,30,stop,2_stop
60,2,2023-03-07 17:13:05+07:00,2023-03-07,17:15:00,31,start,2_start
61,2,2023-03-07 17:47:11+07:00,2023-03-07,17:45:00,31,stop,2_stop
62,2,2023-03-07 19:43:14+07:00,2023-03-07,19:45:00,32,start,2_start
63,2,2023-03-07 21:19:01+07:00,2023-03-07,21:20:00,32,stop,2_stop
64,2,2023-03-08 15:59:26+07:00,2023-03-08,16:00:00,33,start,2_start
65,2,2023-03-08 17:13:29+07:00,2023-03-08,17:15:00,33,stop,2_stop
66,2,2023-03-09 17:13:36+07:00,2023-03-09,17:15:00,34,start,2_start
67,2,2023-03-09 18:30:27+07:00,2023-03-09,18:30:00,34,stop,2_stop
68,2,2023-03-10 16:53:10+07:00,2023-03-10,16:55:00,35,start,2_start
69,2,2023-03-10 18:07:48+07:00,2023-03-10,18:10:00,35,stop,2_stop
70,2,2023-03-11 15:47:56+07:00,2023-03-11,15:50:00,36,start,2_start
71,2,2023-03-11 16:57:44+07:00,2023-03-11,17:00:00,36,stop,2_stop
72,2,2023-03-12 16:12:31+07:00,2023-03-12,16:15:00,37,start,2_start
73,2,2023-03-12 17:26:18+07:00,2023-03-12,17:25:00,37,stop,2_stop
74,2,2023-03-13 16:37:23+07:00,2023-03-13,16:35:00,38,start,2_start
75,2,2023-03-13 17:45:58+07:00,2023-03-13,17:45:00,38,stop,2_stop
76,2,2023-03-14 16:53:26+07:00,2023-03-14,16:55:00,39,start,2_start
77,2,2023-03-14 18:12:47+07:00,2023-03-14,18:15:00,39,stop,2_stop
78,2,2023-03-15 16:54:45+07:00,2023-03-15,16:55:00,40,start,2_start
79,2,2023-03-15 19:05:14+07:00,2023-03-15,19:05:00,40,stop,2_stop
80,2,2023-03-16 16:29:26+07:00,2023-03-16,16:30:00,41,start,2_start
81,2,2023-03-16 18:09:21+07:00,2023-03-16,18:10:00,41,stop,2_stop
82,2,2023-03-17 16:23:52+07:00,2023-03-17,16:25:00,42,start,2_start
83,2,2023-03-17 16:46:43+07:00,2023-03-17,16:45:00,42,stop,2_stop
84,2,2023-03-17 20:26:03+07:00,2023-03-17,20:25:00,43,start,2_start
85,2,2023-03-17 22:05:05+07:00,2023-03-17,22:05:00,43,stop,2_stop
86,2,2023-03-18 18:10:42+07:00,2023-03-18,18:10:00,44,start,2_start
87,2,2023-03-18 20:10:00+07:00,2023-03-18,20:10:00,44,stop,2_stop
88,2,2023-03-19 16:10:29+07:00,2023-03-19,16:10:00,45,start,2_start
89,2,2023-03-19 17:35:34+07:00,2023-03-19,17:35:00,45,stop,2_stop
90,2,2023-03-20 18:02:53+07:00,2023-03-20,18:05:00,46,start,2_start
91,2,2023-03-20 19:47:31+07:00,2023-03-20,19:50:00,46,stop,2_stop
92,2,2023-03-21 15:58:15+07:00,2023-03-21,16:00:00,47,start,2_start
93,2,2023-03-21 17:32:46+07:00,2023-03-21,17:35:00,47,stop,2_stop
94,2,2023-03-22 18:04:44+07:00,2023-03-22,18:05:00,48,start,2_start
95,2,2023-03-22 19:39:29+07:00,2023-03-22,19:40:00,48,stop,2_stop
96,2,2023-03-23 18:57:10+07:00,2023-03-23,18:55:00,49,start,2_start
97,2,2023-03-23 20:34:25+07:00,2023-03-23,20:35:00,49,stop,2_stop
98,2,2023-03-24 19:14:14+07:00,2023-03-24,19:15:00,50,start,2_start
99,2,2023-03-24 20:47:20+07:00,2023-03-24,20:45:00,50,stop,2_stop
100,2,2023-03-25 19:08:25+07:00,2023-03-25,19:10:00,51,start,2_start
101,2,2023-03-25 20:45:50+07:00,2023-03-25,20:45:00,51,stop,2_stop
102,2,2023-03-26 16:13:51+07:00,2023-03-26,16:15:00,52,start,2_start
103,2,2023-03-26 17:23:38+07:00,2023-03-26,17:25:00,52,stop,2_stop
104,2,2023-03-27 16:30:53+07:00,2023-03-27,16:30:00,53,start,2_start
105,2,2023-03-27 18:25:59+07:00,2023-03-27,18:25:00,53,stop,2_stop
106,2,2023-03-28 18:53:35+07:00,2023-03-28,18:55:00,54,start,2_start
107,2,2023-03-28 20:41:42+07:00,2023-03-28,20:40:00,54,stop,2_stop
108,2,2023-03-29 15:40:30+07:00,2023-03-29,15:40:00,55,start,2_start
109,2,2023-03-29 16:51:01+07:00,2023-03-29,16:50:00,55,stop,2_stop
110,2,2023-03-30 16:43:54+07:00,2023-03-30,16:45:00,56,start,2_start
111,2,2023-03-30 18:06:14+07:00,2023-03-30,18:05:00,56,stop,2_stop
112,2,2023-03-31 15:56:41+07:00,2023-03-31,15:55:00,57,start,2_start
113,2,2023-03-31 16:03:54+07:00,2023-03-31,16:05:00,57,stop,2_stop
